Date,Open,High,Low,Close,Volume,Value,Change,Ticker
2020-08-13,59400,59600,58000,58700,22089460,1300659649700,-0.51,005930
2020-08-14,58000,58400,57700,58000,15672548,909052518800,-1.19,005930
2020-08-18,58900,59900,58000,58400,25307825,1490616755852,0.69,005930
2020-08-19,59000,59200,57800,57800,16930719,988995651300,-1.03,005930
2020-08-20,57600,57600,55300,55400,30386029,1709571902444,-4.15,005930
2020-08-21,56200,56900,55800,55900,21142288,1190753262800,0.9,005930
2020-08-24,55800,56600,55400,56100,15055896,843921714200,0.36,005930
2020-08-25,56400,56800,56100,56400,14021705,790968401812,0.53,005930
2020-08-26,56400,56500,55700,56400,17651593,989962031580,0.0,005930
2020-08-27,56300,56300,55600,55600,16196568,903860902050,-1.42,005930
2020-08-28,56100,56300,55400,55400,14619888,815588008400,-0.36,005930
2020-08-31,56000,56100,54000,54000,32671367,1786245513500,-2.53,005930
2020-09-01,54100,54800,54100,54200,19363117,1052420037800,0.37,005930
2020-09-02,54600,55100,54100,54400,16905723,922056312614,0.37,005930
2020-09-03,55600,56700,55500,56400,28384920,1598059625582,3.68,005930
2020-09-04,55200,55800,55100,55600,22139109,1228386611600,-1.42,005930
2020-09-07,56100,57300,55800,56500,18685880,1056350331000,1.62,005930
2020-09-08,57400,58700,57200,58700,31517520,1832705754500,3.89,005930
2020-09-09,58200,59300,57800,58400,30597399,1791534297254,-0.51,005930
2020-09-10,59900,60000,59100,59200,29923293,1781328402942,1.37,005930
2020-09-11,59300,59400,58200,59000,16017098,942685984646,-0.34,005930
2020-09-14,60200,60800,59900,60400,20648281,1245767959295,2.37,005930
2020-09-15,60900,61000,60500,61000,17877075,1086697538650,0.99,005930
2020-09-16,61100,61300,60600,61000,17041444,1038410020500,0.0,005930
2020-09-17,60700,60800,59300,59500,25108356,1501982218002,-2.46,005930
2020-09-18,59800,59900,59100,59300,18884571,1121249648513,-0.34,005930
2020-09-21,59100,60000,59000,59200,15140387,901307763394,-0.17,005930
2020-09-22,59100,59700,57800,58200,20830381,1220859748740,-1.69,005930
2020-09-23,58400,58800,57400,58600,20111398,1168864315200,0.69,005930
2020-09-24,57700,58600,57600,57800,17564020,1017854385100,-1.37,005930
2020-09-25,57700,58200,57700,57900,11444683,662845003372,0.17,005930
2020-09-28,58300,58800,57900,58200,12614080,736197322600,0.52,005930
2020-09-29,58300,59000,58200,58200,15503563,906226742600,0.0,005930
2020-10-05,57500,59200,57500,58700,20228289,1183456525264,0.86,005930
2020-10-06,59400,59900,58700,59000,14463826,856996117132,0.51,005930
2020-10-07,58700,59900,58500,59900,14861838,881415107100,1.53,005930
2020-10-08,60500,60700,59500,59700,24589924,1473634246833,-0.33,005930
2020-10-12,60000,60400,59900,60400,16145837,972249295640,1.17,005930
2020-10-13,61000,61400,60400,60900,19247631,1171363073700,0.83,005930
2020-10-14,61000,61100,60500,60900,16086716,978464277839,0.0,005930
2020-10-15,60700,60800,59700,60000,17756232,1066156791500,-1.48,005930
2020-10-16,60000,60400,59000,59500,16554190,987630872630,-0.83,005930
2020-10-19,59600,60200,59500,60000,14474985,867445905100,0.84,005930
2020-10-20,60300,60900,60100,60900,19326115,1172317250906,1.5,005930
2020-10-21,61200,61500,60600,60900,15703443,959154941000,0.0,005930
2020-10-22,60300,60500,59800,60100,14294095,858048333246,-1.31,005930
2020-10-23,60400,60400,59800,60200,9322232,560419899005,0.17,005930
2020-10-26,60400,61100,60100,60400,13268226,803140204300,0.33,005930
2020-10-27,60300,60300,59500,59800,17260416,1032623352660,-0.99,005930
2020-10-28,59400,59400,58800,59000,14428882,851618619425,-1.34,005930
2020-10-29,58200,58500,57500,58100,22636966,1313484238200,-1.53,005930
2020-10-30,58000,58000,56600,56600,26907844,1541223383000,-2.58,005930
2020-11-02,56400,57500,56000,57400,20489076,1165272782935,1.41,005930
2020-11-03,57900,58900,57600,58800,14950919,873635908544,2.44,005930
2020-11-04,58900,59000,57800,58500,21718561,1269055231850,-0.51,005930
2020-11-05,59000,60300,58800,60300,20639475,1232654470000,3.08,005930
2020-11-06,60700,60800,59600,60100,16910230,1015446062300,-0.33,005930
2020-11-09,60700,60900,60100,60200,15892961,962261517220,0.17,005930
2020-11-10,60500,60500,59500,60200,19073552,1144230876258,0.0,005930
2020-11-11,60700,61400,60400,61300,25628510,1562195790430,1.83,005930
2020-11-12,61000,61400,60700,61000,19800573,1208396630080,-0.49,005930
2020-11-13,61300,63200,61000,63200,31508829,1962139786626,3.61,005930
2020-11-16,64000,66700,63900,66300,36354334,2384455883700,4.91,005930
2020-11-17,67000,67000,65600,65700,30204089,1999330006280,-0.9,005930
2020-11-18,65700,66200,64700,64800,22963790,1495190594762,-1.37,005930
2020-11-19,64100,64800,63900,64600,16590290,1066784816800,-0.31,005930
2020-11-20,63900,65200,63900,64700,15068682,973133163547,0.15,005930
2020-11-23,64800,67800,64700,67500,27134398,1811363067200,4.33,005930
2020-11-24,67900,69500,67000,67700,32158235,2194516840235,0.3,005930
